일시,1시 전력 사용량,2시 전력 사용량,3시 전력 사용량,4시 전력 사용량,5시 전력 사용량,6시 전력 사용량,7시 전력 사용량,8시 전력 사용량,9시 전력 사용량,10시 전력 사용량,11시 전력 사용량,12시 전력 사용량,13시 전력 사용량,14시 전력 사용량,15시 전력 사용량,16시 전력 사용량,17시 전력 사용량,18시 전력 사용량,19시 전력 사용량,20시 전력 사용량,21시 전력 사용량,22시 전력 사용량,23시 전력 사용량,24시 전력 사용량
2023-01-01,6481,6409,7086,7042,7136,7050,6333,2893,1080,880,838,817,790,784,786,784,806,803,819,805,804,803,800,797
2023-01-02,807,804,810,804,805,812,837,874,1157,1723,2931,3504,3896,4176,4474,5275,5576,6628,6945,6893,7253,7338,7248,7239
2023-01-03,7466,7418,7574,7623,7654,7421,7628,7783,7826,7572,7563,8024,8237,8139,7648,7549,6969,7790,8255,8462,8509,8376,8536,8262
2023-01-04,8281,8522,8376,8477,8490,8418,8437,8421,8285,8163,7853,8312,8085,7866,7511,7718,7980,8419,8402,8341,8499,8226,8333,8193
2023-01-05,8269,8527,8348,8429,8413,8469,8342,8442,8255,8109,7985,7898,8098,8384,7547,8302,7963,8381,8319,8231,8268,8175,8154,8314
2023-01-06,8135,7996,8339,8225,7888,7853,8128,7871,8135,8188,8186,8386,8331,7901,7748,7704,7345,8219,8205,8110,8406,8411,8459,8611
2023-01-07,7963,8094,8242,8525,8361,8247,8287,8295,7953,7425,7403,7969,8205,7914,7110,7105,7706,7613,7305,7832,8130,8230,7873,7280
2023-01-08,7860,8094,7984,8119,8278,8118,7916,7880,7896,8012,8265,8509,8426,8479,7887,7618,8144,7954,7695,8329,8447,8502,8313,8257
2023-01-09,8427,8203,8408,8265,8000,8278,7858,7888,6632,6353,5846,5683,5906,5849,5772,5356,5367,5476,5695,6012,5812,5872,5729,5672
2023-01-10,5747,5448,5733,5946,5808,5885,5759,5445,5298,5338,5330,5801,5922,5379,5518,5675,5737,5492,5499,5988,6077,6011,6216,6181
2023-01-11,5977,6217,6054,6037,6010,5984,6060,6004,5983,5846,5500,5662,6089,5338,5547,5919,5848,6242,6313,6258,6173,6237,5994,5934
2023-01-12,5996,6355,6227,6429,6362,6390,6293,5764,5775,5877,6153,5829,5971,6372,6444,6573,6472,6874,6689,6397,6532,6362,6443,6187
2023-01-13,6168,6327,6266,6384,6433,6384,6247,6183,6047,6223,6350,6519,6443,6329,6396,6336,6675,6421,6406,6473,6629,6834,6792,6726
2023-01-14,6871,7130,6761,7104,7078,6943,6847,6791,6714,6563,6729,6982,7020,6680,6280,6506,6687,7089,6818,6858,6680,6918,6184,6719
2023-01-15,6982,7000,7095,6937,7063,7105,6868,6873,6946,6818,6606,6938,6835,6762,6219,6600,6421,6443,6462,6523,6615,6672,6504,6500
2023-01-16,6552,6825,6607,6487,6709,6707,6218,6214,6540,6327,6155,6679,6321,6679,6803,6283,6707,6968,6975,6499,7236,7149,6784,7108
2023-01-17,7391,7587,7519,7216,7199,7136,7249,6971,6472,7054,7005,6964,7294,7823,7005,7272,7465,7861,7990,8140,8025,8178,8035,7843
2023-01-18,7568,7436,6987,7488,7772,7807,7881,7957,7806,7785,7461,8304,7940,7468,7250,6593,7415,8108,8218,8116,8069,8146,7783,7057
2023-01-19,7786,8050,7837,7870,8009,8090,7599,7747,7036,7240,7233,7789,8065,7847,7635,7433,7203,6940,7080,7363,7279,7195,7157,7300
2023-01-20,7333,7296,7743,7533,7584,7845,7410,6828,6698,6920,7071,7102,6836,6794,6304,6086,6662,7019,7356,7293,7242,6870,6707,7140
2023-01-21,7063,6819,6722,6433,6507,6483,5574,2676,975,832,792,744,734,724,741,740,741,761,775,772,772,768,782,780
2023-01-22,777,785,782,787,775,781,778,748,746,752,748,742,748,747,751,754,753,756,766,773,772,764,765,768
2023-01-23,765,765,768,767,763,769,762,755,746,750,750,749,739,746,758,753,754,752,759,769,770,765,766,769
2023-01-24,763,773,774,769,774,782,788,799,1069,2025,2884,2902,3051,3056,3213,3432,3830,4025,4164,4811,5095,4730,5041,5132
